Schema,Table,Column,Action,SQL Statement
escdb-580,qrtz_blob_triggers,BLOB_DATA,ALTER COLUMN,ALTER TABLE qrtz_blob_triggers MODIFY COLUMN BLOB_DATA blob COMMENT 'blob数据';
escdb-580,qrtz_blob_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_blob_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_blob_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_blob_triggers MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_blob_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE qrtz_blob_triggers MODIFY COLUMN TRIGGER_NAME varchar(200) COMMENT '触发器名称';
escdb-580,qrtz_calendars,CALENDAR,ALTER COLUMN,ALTER TABLE qrtz_calendars MODIFY COLUMN CALENDAR blob COMMENT '日历';
escdb-580,qrtz_calendars,CALENDAR_NAME,ALTER COLUMN,ALTER TABLE qrtz_calendars MODIFY COLUMN CALENDAR_NAME varchar(200) COMMENT '日历名称';
escdb-580,qrtz_calendars,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_calendars MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_cron_triggers,CRON_EXPRESSION,ALTER COLUMN,ALTER TABLE qrtz_cron_triggers MODIFY COLUMN CRON_EXPRESSION varchar(200) COMMENT 'cron表达式';
escdb-580,qrtz_cron_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_cron_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_cron_triggers,TIME_ZONE_ID,ALTER COLUMN,ALTER TABLE qrtz_cron_triggers MODIFY COLUMN TIME_ZONE_ID varchar(80) COMMENT '时区id';
escdb-580,qrtz_cron_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_cron_triggers MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_cron_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE qrtz_cron_triggers MODIFY COLUMN TRIGGER_NAME varchar(200) COMMENT '触发器名称';
escdb-580,qrtz_fired_triggers,ENTRY_ID,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN ENTRY_ID varchar(95) COMMENT '条目id';
escdb-580,qrtz_fired_triggers,FIRED_TIME,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN FIRED_TIME bigint(13) COMMENT '点火时间';
escdb-580,qrtz_fired_triggers,INSTANCE_NAME,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN INSTANCE_NAME varchar(200) COMMENT '实例名称';
escdb-580,qrtz_fired_triggers,IS_NONCONCURRENT,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN IS_NONCONCURRENT varchar(1) COMMENT '是非电流';
escdb-580,qrtz_fired_triggers,JOB_GROUP,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN JOB_GROUP varchar(200) COMMENT '作业组';
escdb-580,qrtz_fired_triggers,JOB_NAME,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN JOB_NAME varchar(200) COMMENT '作业名称';
escdb-580,qrtz_fired_triggers,PRIORITY,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN PRIORITY int(11) COMMENT '优先事项';
escdb-580,qrtz_fired_triggers,REQUESTS_RECOVERY,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN REQUESTS_RECOVERY varchar(1) COMMENT '请求恢复';
escdb-580,qrtz_fired_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_fired_triggers,SCHED_TIME,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN SCHED_TIME bigint(13) COMMENT '计划时间';
escdb-580,qrtz_fired_triggers,STATE,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN STATE varchar(16) COMMENT '状态';
escdb-580,qrtz_fired_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_fired_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE qrtz_fired_triggers MODIFY COLUMN TRIGGER_NAME varchar(200) COMMENT '触发器名称';
escdb-580,qrtz_job_details,DESCRIPTION,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN DESCRIPTION varchar(250) COMMENT '描述';
escdb-580,qrtz_job_details,IS_DURABLE,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN IS_DURABLE varchar(1) COMMENT '耐用';
escdb-580,qrtz_job_details,IS_NONCONCURRENT,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN IS_NONCONCURRENT varchar(1) COMMENT '是非电流';
escdb-580,qrtz_job_details,IS_UPDATE_DATA,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN IS_UPDATE_DATA varchar(1) COMMENT '是更新数据';
escdb-580,qrtz_job_details,JOB_CLASS_NAME,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN JOB_CLASS_NAME varchar(250) COMMENT '作业类名称';
escdb-580,qrtz_job_details,JOB_DATA,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN JOB_DATA blob COMMENT '作业数据';
escdb-580,qrtz_job_details,JOB_GROUP,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN JOB_GROUP varchar(200) COMMENT '作业组';
escdb-580,qrtz_job_details,JOB_NAME,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN JOB_NAME varchar(200) COMMENT '作业名称';
escdb-580,qrtz_job_details,REQUESTS_RECOVERY,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN REQUESTS_RECOVERY varchar(1) COMMENT '请求恢复';
escdb-580,qrtz_job_details,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_job_details MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_locks,LOCK_NAME,ALTER COLUMN,ALTER TABLE qrtz_locks MODIFY COLUMN LOCK_NAME varchar(40) COMMENT '锁名称';
escdb-580,qrtz_locks,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_locks MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_paused_trigger_grps,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_paused_trigger_grps MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_paused_trigger_grps,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_paused_trigger_grps MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_scheduler_state,CHECKIN_INTERVAL,ALTER COLUMN,ALTER TABLE qrtz_scheduler_state MODIFY COLUMN CHECKIN_INTERVAL bigint(13) COMMENT '签入间隔';
escdb-580,qrtz_scheduler_state,INSTANCE_NAME,ALTER COLUMN,ALTER TABLE qrtz_scheduler_state MODIFY COLUMN INSTANCE_NAME varchar(200) COMMENT '实例名称';
escdb-580,qrtz_scheduler_state,LAST_CHECKIN_TIME,ALTER COLUMN,ALTER TABLE qrtz_scheduler_state MODIFY COLUMN LAST_CHECKIN_TIME bigint(13) COMMENT '上次签入时间';
escdb-580,qrtz_scheduler_state,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_scheduler_state MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_simple_triggers,REPEAT_COUNT,ALTER COLUMN,ALTER TABLE qrtz_simple_triggers MODIFY COLUMN REPEAT_COUNT bigint(7) COMMENT '重复计数';
escdb-580,qrtz_simple_triggers,REPEAT_INTERVAL,ALTER COLUMN,ALTER TABLE qrtz_simple_triggers MODIFY COLUMN REPEAT_INTERVAL bigint(12) COMMENT '重复间隔';
escdb-580,qrtz_simple_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_simple_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_simple_triggers,TIMES_TRIGGERED,ALTER COLUMN,ALTER TABLE qrtz_simple_triggers MODIFY COLUMN TIMES_TRIGGERED bigint(10) COMMENT '触发次数';
escdb-580,qrtz_simple_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_simple_triggers MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_simple_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE qrtz_simple_triggers MODIFY COLUMN TRIGGER_NAME varchar(200) COMMENT '触发器名称';
escdb-580,qrtz_simprop_triggers,BOOL_PROP_1,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN BOOL_PROP_1 varchar(1) COMMENT 'bool道具';
escdb-580,qrtz_simprop_triggers,BOOL_PROP_2,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN BOOL_PROP_2 varchar(1) COMMENT 'bool道具';
escdb-580,qrtz_simprop_triggers,DEC_PROP_1,ALTER COLUMN,"ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN DEC_PROP_1 decimal(13,4) COMMENT 'dec支柱';"
escdb-580,qrtz_simprop_triggers,DEC_PROP_2,ALTER COLUMN,"ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN DEC_PROP_2 decimal(13,4) COMMENT 'dec支柱';"
escdb-580,qrtz_simprop_triggers,INT_PROP_1,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN INT_PROP_1 int(11) COMMENT 'int道具';
escdb-580,qrtz_simprop_triggers,INT_PROP_2,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN INT_PROP_2 int(11) COMMENT 'int道具';
escdb-580,qrtz_simprop_triggers,LONG_PROP_1,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN LONG_PROP_1 bigint(20) COMMENT '长支柱';
escdb-580,qrtz_simprop_triggers,LONG_PROP_2,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN LONG_PROP_2 bigint(20) COMMENT '长支柱';
