Schema,Table,Column,Action,SQL Statement
escdb-600,app_ad_group,info,ALTER COLUMN,ALTER TABLE app_ad_group MODIFY COLUMN info varchar(255) COMMENT '信息';
escdb-600,app_permission_relation,app_id,ALTER COLUMN,ALTER TABLE app_permission_relation MODIFY COLUMN app_id bigint(20) COMMENT '应用程序id';
escdb-600,app_permission_relation,id,ALTER COLUMN,ALTER TABLE app_permission_relation MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,app_sync_config,push_ldap_ad_domain_name,ALTER COLUMN,ALTER TABLE app_sync_config MODIFY COLUMN push_ldap_ad_domain_name varchar(255) COMMENT '推送ldap广告域名';
escdb-600,audit_account,account_id,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN account_id bigint(20) COMMENT '帐户id';
escdb-600,audit_account,account_no,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN account_no varchar(255) COMMENT '帐号';
escdb-600,audit_account,action,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN action varchar(255) COMMENT '行动';
escdb-600,audit_account,app_version,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN app_version varchar(50) COMMENT '应用程序版本';
escdb-600,audit_account,c_ip,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN c_ip varchar(50) COMMENT 'c ip';
escdb-600,audit_account,geo_city,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN geo_city varchar(255) COMMENT '地理城市';
escdb-600,audit_account,geo_country_long,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN geo_country_long varchar(255) COMMENT '地理国家长期';
escdb-600,audit_account,geo_latitude,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN geo_latitude float COMMENT '地理纬度';
escdb-600,audit_account,geo_longitude,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN geo_longitude float COMMENT '地理经度';
escdb-600,audit_account,geo_region,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN geo_region varchar(255) COMMENT '地理区域';
escdb-600,audit_account,http_req,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN http_req longtext COMMENT 'http请求';
escdb-600,audit_account,log_id,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN log_id varchar(36) COMMENT '日志id';
escdb-600,audit_account,module,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN module varchar(255) COMMENT '单元';
escdb-600,audit_account,name,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN name varchar(255) COMMENT '名称';
escdb-600,audit_account,operator,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN operator varchar(255) COMMENT '操作人员';
escdb-600,audit_account,rel_obj_name,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN rel_obj_name varchar(100) COMMENT 'rel-obj名称';
escdb-600,audit_account,remark,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN remark longtext COMMENT '评论';
escdb-600,audit_account,remark_en,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN remark_en longtext COMMENT '备注en';
escdb-600,audit_account,remark_zh,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN remark_zh longtext COMMENT '备注zh';
escdb-600,audit_account,s_ip,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN s_ip varchar(50) COMMENT 's ip';
escdb-600,audit_account,tag,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN tag varchar(100) COMMENT '标签';
escdb-600,audit_account,time,ALTER COLUMN,ALTER TABLE audit_account MODIFY COLUMN time bigint(20) COMMENT '时间';
escdb-600,audit_ad_pwd_reverse_sync,action,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN action varchar(255) COMMENT '行动';
escdb-600,audit_ad_pwd_reverse_sync,app_id,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN app_id bigint(20) COMMENT '应用程序id';
escdb-600,audit_ad_pwd_reverse_sync,app_version,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN app_version varchar(50) COMMENT '应用程序版本';
escdb-600,audit_ad_pwd_reverse_sync,c_ip,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN c_ip varchar(50) COMMENT 'c ip';
escdb-600,audit_ad_pwd_reverse_sync,domain,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN domain varchar(255) COMMENT '领域';
escdb-600,audit_ad_pwd_reverse_sync,geo_city,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN geo_city varchar(255) COMMENT '地理城市';
escdb-600,audit_ad_pwd_reverse_sync,geo_country_long,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN geo_country_long varchar(255) COMMENT '地理国家长期';
escdb-600,audit_ad_pwd_reverse_sync,geo_latitude,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN geo_latitude float COMMENT '地理纬度';
escdb-600,audit_ad_pwd_reverse_sync,geo_longitude,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN geo_longitude float COMMENT '地理经度';
escdb-600,audit_ad_pwd_reverse_sync,geo_region,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN geo_region varchar(255) COMMENT '地理区域';
escdb-600,audit_ad_pwd_reverse_sync,host,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN host varchar(255) COMMENT '主办';
